epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5495,1.5336,4.51247,1.41093,0.00152,0.625,0.00156,0.00026,2.87237,4.90483,2.01855,0.0973,0.0003,0.0003
2,22.5524,0.96918,7.31044,0.85475,0.00232,0.75,0.00276,0.00126,1.88733,4.1722,2.44814,0.0936931,0.00069307,0.00069307
3,33.503,1.46696,2.4409,1.42723,0.01942,0.25,0.10416,0.05127,2.02365,4.02093,1.90982,0.0900782,0.00107822,0.00107822
4,44.1139,1.37521,2.42654,1.33084,0.25,0.375,0.45312,0.31906,1.88577,3.96354,2.04802,0.0864555,0.00145545,0.00145545
5,54.6232,1.28528,1.51817,1.27125,0.07273,0.5,0.45355,0.26538,1.94737,4.08172,2.46791,0.0828248,0.00182476,0.00182476
6,65.1221,1.33995,1.35327,1.28397,0.04878,0.75,0.38818,0.28367,1.69108,3.65532,1.72052,0.0791862,0.00218615,0.00218615
7,75.7329,1.37998,1.50486,1.33377,0.00314,0.875,0.14086,0.08858,2.10924,3.39224,2.06953,0.0755396,0.00253962,0.00253962
8,86.3397,1.24044,1.26397,1.22819,0.02008,0.25,0.01897,0.00597,2.65319,8.64029,3.01503,0.0718852,0.00288517,0.00288517
9,96.8707,1.51279,1.50355,1.38045,0.80326,0.25,0.28793,0.09084,2.70172,18.6734,3.63564,0.0682228,0.0032228,0.0032228
10,107.365,1.35472,1.39588,1.29027,0.0651,0.125,0.02295,0.00472,3.03151,10.9097,5.00296,0.0645525,0.00355251,0.00355251
11,118.135,1.53391,1.66579,1.51837,0.0474,0.375,0.03525,0.00886,3.14484,102.841,6.00112,0.0608743,0.0038743,0.0038743
12,128.825,1.51907,1.28595,1.51732,0.13321,0.375,0.17549,0.0602,2.47293,27.4952,3.92704,0.0571882,0.00418817,0.00418817
13,139.691,1.585,1.48884,1.62338,0.04343,0.625,0.35534,0.1195,2.33608,115.791,3.83024,0.0534941,0.00449412,0.00449412
14,151.115,1.53759,1.43947,1.50299,0.00213,0.625,0.07373,0.02499,1.96861,953.257,2.64519,0.0497922,0.00479215,0.00479215
15,162.654,1.48505,1.20283,1.58527,0.00246,1,0.00473,0.00164,2.39332,2705.32,3.2033,0.0460823,0.00508226,0.00508226
16,174.619,1.34726,1.34713,1.43081,0.0003,0.125,0.0002,8e-05,3.16387,19550.5,8.81214,0.0423644,0.00536445,0.00536445
17,186.34,1.45178,1.30771,1.48476,0.00091,0.375,0.00092,0.00015,2.97001,13725,4.4665,0.0386387,0.00563872,0.00563872
